"input_index","input_label","input_url","normalized_input_url","canonical_name","canonical_official_url","canonical_repository_url","existing_catalog_id","decision","resulting_catalog_id","duplicate_of_input_index","categories","license_model","license_spdx","status","needs_review","primary_evidence","notes"
"1","Sablier","https://sablierapp.dev/","https://sablierapp.dev","Sablier","https://sablierapp.dev/","https://github.com/sablierapp/sablier","","ADD","sablier","","kubernetes-distributions-operations","oss","AGPL-3.0-only","active","false","https://sablierapp.dev/;https://sablierapp.dev/tutorials/getting-started/;https://github.com/sablierapp/sablier","Canonical metadata reconciled from the cited primary sources."
"2","dool","https://github.com/scottchiefbaker/dool","https://github.com/scottchiefbaker/dool","dool","","https://github.com/scottchiefbaker/dool","","ADD","dool","","foundations-linux-scripting","oss","GPL-3.0-only","active","false","https://github.com/scottchiefbaker/dool","Canonical metadata reconciled from the cited primary sources."
"3","atop","https://github.com/Atoptool/atop","https://github.com/Atoptool/atop","atop","","https://github.com/Atoptool/atop","","ADD","atop","","foundations-linux-scripting","oss","GPL-2.0-only","active","false","https://github.com/Atoptool/atop","Canonical metadata reconciled from the cited primary sources."
"4","sysstat","https://sysstat.github.io/","https://sysstat.github.io","sysstat","https://sysstat.github.io/","https://github.com/sysstat/sysstat","","ADD","sysstat","","foundations-linux-scripting","oss","GPL-2.0-only","active","false","https://sysstat.github.io/;https://github.com/sysstat/sysstat","Canonical metadata reconciled from the cited primary sources."
"5","Agent Substrate","https://github.com/agent-substrate/substrate","https://github.com/agent-substrate/substrate","Agent Substrate","","https://github.com/agent-substrate/substrate","","NEEDS_REVIEW","","","","","","","","https://github.com/agent-substrate/substrate","Primary documentation is insufficient for defensible adoption guidance."
"6","Yoke","https://github.com/yokecd/yoke","https://github.com/yokecd/yoke","Yoke","https://yokecd.github.io/","https://github.com/yokecd/yoke","yokecd","UPDATE_EXISTING","yokecd","","cd-gitops-release-promotion","oss","MIT","active","false","https://yokecd.github.io/;https://github.com/yokecd/yoke","Canonical metadata reconciled from the cited primary sources."
"7","Capacitor Next","https://gimlet.io/capacitor-next/","https://gimlet.io/capacitor-next","Capacitor Next","https://gimlet.io/capacitor-next/","https://github.com/gimlet-io/capacitor","","ADD","capacitor-next","","kubernetes-distributions-operations","oss","Apache-2.0","active","false","https://gimlet.io/capacitor-next/;https://gimlet.io/capacitor-next/docs/;https://github.com/gimlet-io/capacitor","Canonical metadata reconciled from the cited primary sources."
"8","K8s ESP Reference Implementation","https://github.com/scanset/K8s-ESP-Reference-Implementation","https://github.com/scanset/K8s-ESP-Reference-Implementation","K8s ESP Reference Implementation","","https://github.com/scanset/K8s-ESP-Reference-Implementation","","NEEDS_REVIEW","","","","","","","","https://github.com/scanset/K8s-ESP-Reference-Implementation","No description, declared licence, release history, or meaningful activity beyond the initial commit."
"9","VictoriaMetrics MCP server","https://github.com/VictoriaMetrics/mcp-victoriametrics","https://github.com/VictoriaMetrics/mcp-victoriametrics","VictoriaMetrics MCP server","","https://github.com/VictoriaMetrics/mcp-victoriametrics","","ADD","victoriametrics-mcp-server","","mlops-llmops-ai-infrastructure","oss","Apache-2.0","active","false","https://github.com/VictoriaMetrics/mcp-victoriametrics","Canonical metadata reconciled from the cited primary sources."
"10","Codeberg","https://codeberg.org/","https://codeberg.org","Codeberg","https://codeberg.org/","","","ADD","codeberg","","source-control-repository-management","free-saas","","active","false","https://codeberg.org/;https://docs.codeberg.org/","Canonical metadata reconciled from the cited primary sources."
"11","Kubernetes Zero to Production","https://github.com/SuchanMadhikarmi/kubernetes-zero-to-production","https://github.com/SuchanMadhikarmi/kubernetes-zero-to-production","Kubernetes Zero to Production","","https://github.com/SuchanMadhikarmi/kubernetes-zero-to-production","","SKIP_OUT_OF_SCOPE","","","","","","","","https://github.com/SuchanMadhikarmi/kubernetes-zero-to-production","Very recent personal learning repository does not yet meet the maturity threshold."
"12","Komodo","https://komo.do/","https://komo.do","Komodo","https://komo.do/","https://github.com/moghtech/komodo","","ADD","komodo","","virtualization-bare-metal-homelab","oss","GPL-3.0-only","active","false","https://komo.do/;https://komo.do/docs/intro;https://github.com/moghtech/komodo","Canonical metadata reconciled from the cited primary sources."
